"observacion","f","g","h","n","t_0","likelihood"
"138_235","43.4282039986","-0.000763395497779","-26.617105672","-43.6446866323","-34.6511025824","-426.364400452"
"139_235","67.3191869788","-0.000914535079807","-8.98171465664","94.384638155","64.4514064996","-469.535856206"
"140_235","80.2527714777","-0.079526399949","10.0036358265","-6.18101527121","11.1783653155","-1703.46098677"
"141_235","101.058305739","-0.107751716245","-72.5176317975","-77.8919020144","-60.4077766425","-2689.37752018"
"142_235","114.227696703","-0.102044106733","-4.43512066265","-27.799046569","2.25597796517","-2211.1061006"
"143_235","89.9059568237","-0.07808258981","15.0453976608","95.0688873755","89.4197638313","-1691.24553598"
"144_235","88.6691598315","0.031954359475","-42.4259069724","-10.8773102482","-3.01457277994","-3338.58476663"
"145_235","-8.52444028523","0.0164309157056","44.2214373317","47.3693215633","6.5223645802","-9371.03941"
"146_235","82.2496834514","0.0118251844586","11.40067568","-23.1167064376","14.8017919113","-1992.73002104"
"147_235","101.764094613","-0.0404548519399","-2.00959120002","81.416755954","61.1169331614","-660.536376225"
"138_236","36.8073351924","0.0156449361246","-2.41648386343","23.3519748506","33.7195040042","-330.657944883"
"139_236","51.8304191726","-0.00868263372793","-4.13034486698","60.9101529267","67.9821795906","-930.812101979"
"140_236","-5.73056043138","-0.083487182958","39.4537313937","28.353427117","-1.86127689146","-3735.67238871"
"141_236","114.202041539","-0.121730966872","-8.70544463486","35.4954658235","43.9972291707","-6112.66461517"
"142_236","118.43584222","-0.1521660312","2.33388047027","13.8766069569","24.2000681837","-3958.17603942"
"143_236","132.990468649","-0.127301720718","-9.23349338635","-9.05325294481","11.7929310315","-3552.44008822"
"144_236","112.494973966","-0.0127479169128","-10.1130161811","-34.1451472021","-28.7360267948","-5384.09714262"
"145_236","88.1766503587","0.0594927922208","2.60728894623","-12.9757650291","2.12332270338","-2164.86979091"
"146_236","-28.8283108645","0.0480077413154","55.8466493466","18.5030660675","-9.19430163789","-3029.00735179"
"147_236","105.555207761","0.005058980095","-7.31067260447","4.52374801925","33.2106549949","-2141.98582793"
"138_237","22.1861419247","0.0046041616953","2.18327990341","41.2506094571","32.0203515569","-567.898648273"
"139_237","36.2090264029","-0.0120295421977","-40.3427235352","-42.0430386185","-49.0878140682","-822.566521365"
"140_237","57.9429151897","-0.0619369454349","-3.36428394113","-72.4801570539","-82.5784496866","-2100.22916261"
"141_237","96.0897577031","-0.116605468887","-5.35024147228","53.9312109958","76.2062850586","-4254.67937598"
"142_237","121.530281993","-0.18374050676","3.62126667405","-46.4690441409","-23.6461752396","-4410.64162451"
"143_237","142.45588152","-0.177803671875","-6.56677502454","-5.7189161234","23.6614857278","-2667.17270123"
"144_237","111.495472802","-0.121943829617","15.7605021172","34.5744208929","53.9052759313","-3307.30338249"
"145_237","100.015233593","-0.0125174775896","8.30631140672","86.7228224852","107.26237293","-1930.75715331"
"146_237","103.328677107","0.0562299701026","-4.39772954619","10.4969120206","20.5265014306","-2350.96542425"
"147_237","108.701948546","0.0528260803724","-9.63769028973","17.9799491302","32.1780164305","-2312.60126026"
"138_238","12.7057249059","0.00760361415967","3.32311748906","42.7590510119","66.2062948013","-786.112652608"
"139_238","5.98594166248","0.0049113519989","8.13522859536","46.9969078902","29.8444822114","-772.953124606"
"140_238","33.4221601283","-0.0179346609545","24.4327292834","-13.8886252178","-24.9672275722","-796.090404399"
"141_238","64.8430669203","-0.0990656177942","57.0023504759","-9.00856739497","-21.1386160605","-1879.06440942"
"142_238","108.696861541","-0.189859726795","67.5575979979","-54.2578505577","-68.6374942768","-3120.53634092"
"143_238","143.449741056","-0.221752316081","-83.3008980901","-2.31687393748","-1.96450577298","-3430.89378461"
"144_238","145.577457943","-0.151514450214","-33.2365176504","-48.5634913236","-49.6329562258","-4366.94329363"
"145_238","118.718662697","-0.0860078371364","9.27142346137","13.9360994021","49.7224170032","-2508.3664457"
"146_238","118.479801966","-0.00484959832617","-60.4870682071","-3.98789968394","-8.51611233995","-2586.11879472"
"147_238","112.442643192","0.00796300817746","43.7672170951","-46.9728040126","-63.8462738865","-3060.85178701"
"138_239","-6.57436859275","0.0370517638843","6.27025827528","26.3515952907","54.5710871152","-1398.54310797"
"139_239","-12.0966515855","0.0202452052305","10.2983317268","39.0851320484","70.8911352036","-989.236259831"
"140_239","-15.8350907349","0.0332143083462","9.93050617955","2.64276840453","18.2248320928","-917.151660526"
"141_239","16.5857378526","-0.035694166876","3.10328161991","33.6672279631","20.0340531487","-941.510156226"
"142_239","73.1177203289","-0.154236856855","25.7094594498","-22.7451488441","-22.8014400333","-2765.9175029"
"143_239","125.280067775","-0.236128905229","35.1258022289","-32.6656261369","-42.6587653617","-4160.84279832"
"144_239","130.720581552","-0.221523009199","8.75175676823","107.131545442","66.4639742917","-3190.54002831"
"145_239","138.704836047","-0.118583614031","-15.4706847791","-46.3463522529","-20.3198260453","-3230.98786558"
"146_239","123.058220555","-0.059392260628","4.78659349837","38.9673290527","42.9202936987","-1654.06417558"
"147_239","129.640669398","-0.0374117724484","-36.7607906556","-92.480791243","-87.6437945109","-1395.27134968"
"138_240","-8.38613290912","0.0575300425713","-122.05075417","-63.628734803","-57.4451767924","-1210.97474099"
"139_240","-11.0273415784","0.0603971401926","-29.4397757421","-28.1950724014","-21.1426590795","-1053.245023"
"140_240","-37.2924353698","0.0756163010963","9.08049563098","36.0326157494","17.4332260289","-1140.58566189"
"141_240","-42.5105298506","0.0531495897009","10.8807114303","32.4981740299","15.7455507654","-684.006261801"
"142_240","18.3600357374","-0.0652909557364","-12.1957104395","-55.2123031313","-81.0231197262","-1766.71759896"
"143_240","85.1786681631","-0.211589560131","3.84150959648","-37.2830090841","-25.0689917963","-2963.63285645"
"144_240","52.1953815342","-0.260952370929","40.8278245161","0.0785426822244","-17.9679408262","-2964.73010986"
"145_240","137.874305231","-0.184262782694","-94.8490701856","-0.195673104349","-15.4192805631","-2795.80534212"
"146_240","128.794553933","-0.0910947301254","-8.84313951658","-5.07003646734","-16.5915201568","-3523.58246488"
"147_240","131.903414949","-0.0647474857225","19.4552982291","-13.5095925543","-4.72599921484","-1601.95670737"
"138_241","-16.6488013068","0.0660218086754","-25.0157531581","-50.3534865063","-53.2771662202","-680.378559857"
"139_241","-16.4370877486","0.0624356910989","5.68867623085","-111.260419234","-95.2512617744","-811.384821052"
"140_241","-28.8825471086","0.0754840585984","2.99191956987","35.0479044397","26.111314675","-1672.14765473"
"141_241","-35.4977134122","0.0896484116526","29.3908108645","-55.3142804785","-28.8510186605","-2237.15795339"
"142_241","-14.992387685","0.00753018806334","-2.16197491984","0.222841517926","-0.436100843941","-2042.11396095"
"143_241","37.4611360739","-0.145523151529","32.6480703596","-19.7144913355","-25.4879821053","-1956.88160088"
"144_241","64.6165793866","-0.23061160787","14.7584558848","2.9006514379","27.0950615029","-2221.14391406"
"145_241","109.06024668","-0.168767523199","-3.8693944113","-63.3835807905","-42.4119556673","-2163.48998454"
"146_241","102.471502262","-0.103355517831","4.82244532911","12.0372689121","22.2643908007","-1961.9958435"
"147_241","114.978629669","-0.0632765578819","-17.7038583447","-25.739880482","-3.97596570529","-3460.78963284"
"138_242","-11.4337482759","0.0444935846196","-11.4118833853","-84.0933281541","-61.4921378174","-465.244218582"
"139_242","-2.63908694532","0.0457754713542","-4.23839571639","4.0901879076","0.324785775379","-804.784999586"
"140_242","-22.4610465257","0.0642939937808","2.35865876323","8.6132213994","-2.73156181418","-2454.40670384"
"141_242","-25.1542170144","0.0789654010886","-3.12565924923","17.5845234882","41.3815303433","-5195.14927466"
"142_242","-23.2333638581","0.0438944351177","-6.15581861881","24.0729903568","44.1874285535","-4963.67920183"
"143_242","-13.9857192793","-0.0699421364255","4.79030746389","10.0486142731","-12.4094738517","-2380.44443735"
"144_242","48.5321970127","-0.163172878336","-8.88225427244","-8.40988958061","16.3001514392","-3365.34648206"
"145_242","81.7604933881","-0.152675699803","-57.2573548151","-35.5078529856","-50.1537035166","-4592.75419636"
"146_242","78.6184519794","-0.0920779102064","6.13263496393","48.820815127","48.7904267724","-596.99373601"
"147_242","90.6523936917","-0.0363254059261","49.3565604779","-142.407559173","-122.98557147","-1488.78510642"
"138_243","58.9604864611","0.0278541039605","-32.6438452597","6.16667553457","-0.741373178858","-339.503552603"
"139_243","-6.42291837522","0.0339086545434","58.1551921007","-33.7914745096","-53.044326323","-452.067872249"
"140_243","-5.28292912875","0.0513999565817","-3.53671189467","31.6097162435","37.2211548874","-1239.38686974"
"141_243","-16.6530119602","0.078453331424","-4.65289143305","62.3702882071","67.4450384699","-3849.28788481"
"142_243","-30.8701544141","0.0689539698577","-3.54977363224","55.3910697991","53.0768901179","-4361.8455899"
"143_243","-30.6213723318","-0.00277123001515","-58.1277530255","-7.8337249836","-5.88677021258","-1851.86152017"
"144_243","78.7034337521","-0.079572256707","-37.7762212302","19.4152260554","-2.71506492519","-1497.49828887"
"145_243","43.7436520165","-0.10345874853","60.2244787894","-46.2019501553","-54.4310600176","-3634.33288573"
"146_243","65.4459171518","-0.0642904464629","48.7980170799","-18.5807920504","-16.142433619","-2454.25657583"
"147_243","71.3344663197","-0.0167881875364","-33.3711572321","-29.6515954981","-19.1856545382","-700.800192936"
"138_244","-5.46705539762","0.0258193284642","9.99291400949","-1.25188974373","2.54680256715","-448.438496706"
"139_244","-5.03406481917","0.0330112219491","11.0141493261","-5.72965765231","-0.0399143765747","-557.565783417"
"140_244","-1.94109312113","0.0407957765233","-2.11009355753","66.04636592","80.2724086704","-787.028468811"
"141_244","-12.2569491526","0.050834660651","2.4100207763","-1.18444404293","22.0988335649","-1830.32057537"
"142_244","-8.74752586587","0.0565556347376","-7.72126477289","7.78928919594","-6.49007600065","-2889.88794944"
"143_244","-37.9989911188","0.0305482946886","3.04564767115","23.3677997284","22.4438501854","-2060.15906387"
"144_244","-36.5809183233","-0.0148721358333","7.67478952958","31.6211680834","35.4677720675","-984.635197755"
"145_244","4.04064378067","-0.033132424623","-5.13924286786","-20.0050846169","12.5653584288","-1931.08902772"
"146_244","27.8246801522","-0.0600620374326","7.5613615186","74.9871198025","71.3737592115","-1644.56418997"
"147_244","55.0622398719","-0.0177586995548","-96.0601357011","-69.3523965566","-50.0120260572","-1297.7449432"
